,0
155500,0
128837,0
125959,0
79118,0
84243,0
84603,0
77981,0
50046,0
158156,0
102283,0
150514,0
99878,0
63868,0
133169,0
155936,0
120587,0
126281,0
30712,1
156981,0
107809,0
95980,0
150171,0
111550,0
44343,1
121946,0
30683,1
103897,0
63466,0
32828,1
5109,1
46688,0
35419,1
42784,1
77729,0
141320,0
125651,0
56622,0
96264,0
153095,0
113337,0
5637,1
120738,0
75499,0
125966,0
16882,1
155045,0
90032,0
38403,1
67573,0
118708,0
84377,0
53870,0
55605,0
152414,0
13144,1
92119,0
93410,0
131723,0
60571,0
57647,0
20408,1
106430,0
66053,0
87135,0
25242,1
82259,0
124905,0
142233,0
50834,0
101281,0
144917,0
33195,1
15532,1
127362,0
143390,0
67518,0
113715,0
36388,1
24918,1
30554,1
133487,0
26968,1
153804,0
121863,0
104616,0
141592,0
38208,1
156178,0
88425,0
70305,0
122508,0
136661,0
65222,0
37729,1
71731,0
31343,1
42004,1
27611,1
151844,0
105245,0
126736,0
44714,1
54017,0
97021,0
132925,0
150130,0
41587,1
23867,1
20836,1
124080,0
82865,0
53279,0
71710,0
2817,1
30782,1
18665,1
143762,0
23935,1
10639,1
117787,0
77306,0
78672,0
50316,0
23277,1
48753,0
69657,0
147302,0
91682,0
83528,0
150983,0
142884,0
51259,0
140712,0
58497,0
103593,0
50289,0
28437,1
143674,0
25516,1
69578,0
142748,0
27823,1
65469,0
73416,0
42274,1
155464,0
34113,1
55823,0
86345,0
27138,1
116235,0
53041,0
109123,0
111498,0
100855,0
5208,1
131435,0
51779,0
56856,0
87732,0
26436,1
18301,1
42966,1
133363,0
23113,1
45509,0
122232,0
86375,0
13486,1
37745,1
146864,0
29441,1
152592,0
68275,0
67197,0
139612,0
67949,0
151845,0
142300,0
12657,1
60601,0
123390,0
92209,0
74291,0
119981,0
87208,0
83973,0
7699,1
54345,0
16023,1
74077,0
149677,0
72112,0
126143,0
118428,0
24615,1
142870,0
81838,0
112071,0
82153,0
142546,0
114199,0
48915,0
9128,1
129493,0
151649,0
124412,0
37472,1
953,1
107987,0
110483,0
46444,0
31916,1
2481,1
125203,0
29200,1
51866,0
45033,1
62360,0
56558,0
75127,0
138143,0
16729,1
76303,0
54493,0
93555,0
91364,0
92567,0
55686,0
80159,0
154528,0
149321,0
70786,0
158226,0
72790,0
17575,1
131355,0
30799,1
51159,0
131286,0
80109,0
32165,1
39448,1
19739,1
49457,0
69476,0
79135,0
147380,0
67073,0
99757,0
108489,0
30670,1
12822,1
16578,1
149027,0
90776,0
57893,0
80004,0
130471,0
26466,1
13102,1
40152,1
26288,1
2641,1
57903,0
115989,0
93199,0
6675,1
6887,1
91043,0
133795,0
16408,1
62430,0
133514,0
13567,1
49855,0
71068,0
146636,0
82117,0
94690,0
154916,0
144104,0
104752,0
77070,0
71854,0
8721,1
146047,0
26294,1
94898,0
71957,0
80129,0
117485,0
76797,0
122444,0
97220,0
65864,0
110563,0
101342,0
118530,0
119939,0
104626,0
78516,0
77650,0
4901,1
59195,0
80705,0
108128,0
68815,0
156715,0
118211,0
117428,0
132354,0
2399,1
7542,1
96530,0
146918,0
157013,0
134594,0
38217,1
117298,0
144538,0
107095,0
56051,0
50868,0
32694,1
88903,0
59521,0
54162,0
16713,1
16025,1
58820,0
75098,0
11727,1
40807,1
22365,1
92972,0
67700,0
26035,1
97968,0
19888,1
159434,0
140528,0
156180,0
6710,1
85703,0
131663,0
111829,0
109362,0
13493,1
47422,0
2985,1
139070,0
16774,1
143599,0
117346,0
147448,0
56537,0
29694,1
62137,0
29727,1
153341,0
35661,1
34800,1
9864,1
124573,0
133802,0
16900,1
123804,0
80872,0
108208,0
90060,0
93961,0
153523,0
86901,0
50384,0
27261,1
118210,0
154722,0
26882,1
32223,1
54624,0
142813,0
140155,0
138102,0
115735,0
150391,0
46719,0
43468,1
7347,1
52333,0
82855,0
70223,0
116233,0
1709,1
138142,0
81788,0
6447,1
62143,0
4631,1
32490,1
69149,0
92433,0
98082,0
138122,0
112357,0
108855,0
89209,0
100343,0
51662,0
85270,0
76704,0
77125,0
24491,1
26251,1
132262,0
119820,0
66345,0
57500,0
39478,1
49017,0
693,1
32440,1
71127,0
150041,0
47260,0
58322,0
133229,0
133477,0
91397,0
97911,0
25703,1
3726,1
36268,1
73381,0
128700,0
77775,0
106321,0
35188,1
150413,0
16644,1
12563,1
2298,1
20343,1
77701,0
44698,1
65185,0
143384,0
104276,0
71843,0
67641,0
125025,0
256,1
84254,0
34608,1
79511,0
18057,1
48384,0
4443,1
109981,0
2559,1
87805,0
12081,1
109670,0
45504,0
45100,0
25252,1
111232,0
11344,1
10447,1
54255,0
32600,1
12224,1
103556,0
108774,0
101711,0
58191,0
159772,0
82961,0
137962,0
147328,0
128253,0
29618,1
111765,0
135701,0
8952,1
122812,0
146737,0
43985,1
20598,1
52812,0
88391,0
12473,1
31715,1
128507,0
39409,1
65445,0
70993,0
147214,0
11485,1
80831,0
84664,0
81850,0
70790,0
29717,1
45407,0
144533,0
85432,0
592,1
19938,1
121412,0
984,1
20367,1
12187,1
64540,0
31479,1
62329,0
146883,0
40380,1
32858,1
115134,0
31919,1
145574,0
71705,0
127443,0
50679,0
33191,1
99563,0
146626,0
119999,0
122956,0
218,1
19482,1
116141,0
132699,0
31914,1
105686,0
115947,0
64086,0
71651,0
74017,0
77609,0
7789,1
37514,1
61526,0
3727,1
131378,0
16446,1
16566,1
27234,1
156760,0
140023,0
44374,1
153499,0
95841,0
147343,0
72941,0
68740,0
127751,0
126808,0
151614,0
18606,1
71806,0
34528,1
127976,0
154672,0
28774,1
129558,0
7428,1
37202,1
48368,0
141385,0
115533,0
89569,0
118943,0
25765,1
106263,0
53306,0
156820,0
129098,0
159758,0
158569,0
108742,0
58860,0
27963,1
155542,0
25948,1
135256,0
84692,0
149740,0
77032,0
14656,1
9901,1
27850,1
149215,0
50972,0
100061,0
25380,1
96848,0
110265,0
129462,0
62561,0
50870,0
21769,1
113773,0
9225,1
117587,0
6483,1
68809,0
124642,0
77379,0
92447,0
76442,0
124812,0
56586,0
45297,0
48811,0
59838,0
155659,0
58989,0
12158,1
9912,1
17070,1
95484,0
46422,0
151627,0
9790,1
92773,0
158040,0
44556,1
20916,1
156951,0
116058,0
83112,0
95783,0
77129,0
108537,0
158294,0
850,1
50083,0
38766,1
28938,1
96311,0
112909,0
16686,1
149244,0
130783,0
150121,0
53488,0
36619,1
14671,1
55680,0
151434,0
104785,0
114918,0
10094,1
64003,0
143057,0
155891,0
150725,0
47757,0
45160,0
41247,1
101742,0
115006,0
26889,1
106995,0
85713,0
110525,0
159573,0
120002,0
71188,0
136009,0
28926,1
32902,1
141573,0
35058,1
158686,0
39606,1
142879,0
135891,0
31447,1
113900,0
96329,0
920,1
72983,0
14717,1
150080,0
89521,0
105962,0
87550,0
47189,0
91981,0
25193,1
109372,0
131184,0
154906,0
26307,1
35685,1
135160,0
27788,1
118279,0
91796,0
36510,1
84668,0
53735,0
55949,0
158633,0
5309,1
67024,0
78320,0
68160,0
111306,0
63818,0
49626,0
87741,0
139617,0
149588,0
57912,0
17473,1
68132,0
49432,0
92875,0
135446,0
29541,1
152101,0
76035,0
129043,0
1528,1
81521,0
97111,0
148942,0
71565,0
44172,1
107468,0
135447,0
135444,0
4286,1
56666,0
98431,0
94605,0
117632,0
100285,0
128480,0
145009,0
81284,0
148421,0
68986,0
30228,1
128492,0
61117,0
59311,0
124010,0
90619,0
2866,1
121472,0
15179,1
67171,0
138006,0
37747,1
87585,0
149009,0
137595,0
75959,0
22715,1
157524,0
38452,1
66757,0
67104,0
47415,0
11174,1
38697,1
66543,0
112053,0
104587,0
4812,1
70945,0
23750,1
28526,1
134590,0
101488,0
42973,1
62562,0
142868,0
44438,1
104874,0
9946,1
140824,0
149530,0
83479,0
131655,0
76832,0
36639,1
38321,1
58329,0
91295,0
81560,0
105849,0
35426,1
14587,1
113025,0
20588,1
91746,0
154245,0
9430,1
79196,0
131968,0
62920,0
100594,0
118492,0
112395,0
67113,0
19918,1
130132,0
122953,0
50559,0
77222,0
68084,0
154216,0
54081,0
156384,0
82203,0
4847,1
58111,0
100652,0
89939,0
145861,0
79596,0
90092,0
93909,0
268,1
62233,0
31853,1
159653,0
96267,0
103104,0
93487,0
82141,0
86112,0
18378,1
150711,0
98723,0
32308,1
72287,0
148983,0
52385,0
156238,0
28982,1
28644,1
128534,0
82172,0
41836,1
14718,1
78530,0
155801,0
85887,0
141109,0
69489,0
75007,0
100758,0
11549,1
87671,0
144957,0
120354,0
101311,0
71116,0
142614,0
84369,0
119246,0
25846,1
20239,1
28620,1
69803,0
105983,0
145336,0
130230,0
130739,0
73070,0
103026,0
94277,0
116991,0
33546,1
119279,0
71467,0
93283,0
85768,0
152721,0
152233,0
13291,1
98410,0
71235,0
39114,1
107035,0
49229,0
108026,0
136522,0
114265,0
61178,0
12603,1
101043,0
146416,0
118483,0
18463,1
109597,0
18195,1
90454,0
120813,0
41456,1
11709,1
63627,0
22996,1
121433,0
3277,1
20366,1
107922,0
159147,0
151735,0
109243,0
114240,0
140597,0
3593,1
100147,0
84439,0
136008,0
18506,1
113965,0
33257,1
59583,0
33128,1
159673,0
130737,0
119434,0
62382,0
47281,0
103237,0
139602,0
115301,0
71848,0
6265,1
99363,0
38631,1
41067,1
70793,0
14966,1
30134,1
41059,1
107949,0
117463,0
88255,0
109693,0
22514,1
64766,0
107731,0
62473,0
9904,1
140991,0
